"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"CN1";"USB-B_TH_BF90";1;"USB-B_Panel";;;
2;"H12,H11,H9,H10,H8,H7,H5,H3,H2,H6,H4,H1";"MountingHole_3.5mm_Pad";12;"MountingHole";;;
3;"J1";"JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical";1;"JST_SH_Conn_01x04_i2c-0my_intf";;;
4;"C17,C4,C1";"C_0805_2012Metric";3;"10u";;;
5;"Y1";"Crystal_SMD_HC49-US";1;"ABLS-12.000MHZ-B4-T";;;
6;"U3";"RP2040-QFN-56";1;"RP2040";;;
7;"R5,R1";"C_0402_1005Metric";2;"1k";;;
8;"H4,H3,H2,H1";"MountingHole_2.7mm_M2.5";4;"MountingHole";;;
9;"R4,R3";"C_0402_1005Metric";2;"27";;;
10;"R2";"C_0402_1005Metric";1;"DNF";;;
11;"C16,C15,C14,C13,C12,C11,C9,C7,C6,C5";"C_0402_1005Metric";10;"100n";;;
12;"C10,C8";"C_0402_1005Metric";2;"1u";;;
13;"C3,C2";"C_0402_1005Metric";2;"27p";;;
14;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
15;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
16;"J4,J3";"PinHeader_2x18_P2.54mm_Vertical";2;"Conn_02x18_Odd_Even";;;
17;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
