Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",7.937500,23.500000,0.000000,top
"C2","27p","C_0402_1005Metric",-3.485000,-9.000000,180.000000,top
"C3","27p","C_0402_1005Metric",-0.515000,-9.000000,0.000000,top
"C4","10u","C_0805_2012Metric",9.025000,11.000000,0.000000,top
"C5","100n","C_0402_1005Metric",-3.815000,17.170000,180.000000,top
"C6","100n","C_0402_1005Metric",-1.000000,7.485000,90.000000,top
"C7","100n","C_0402_1005Metric",1.500000,-6.485000,270.000000,top
"C8","1u","C_0402_1005Metric",3.000000,6.485000,90.000000,top
"C9","100n","C_0402_1005Metric",0.000000,7.485000,90.000000,top
"C10","1u","C_0402_1005Metric",4.000000,6.485000,90.000000,top
"C11","100n","C_0402_1005Metric",-6.485000,3.000000,180.000000,top
"C12","100n","C_0402_1005Metric",6.485000,-1.200000,0.000000,top
"C13","100n","C_0402_1005Metric",-6.485000,-1.200000,180.000000,top
"C14","100n","C_0402_1005Metric",0.381000,-6.485000,270.000000,top
"C15","100n","C_0402_1005Metric",6.485000,4.000000,0.000000,top
"C16","100n","C_0402_1005Metric",6.485000,5.400000,0.000000,top
"C17","10u","C_0805_2012Metric",-14.885000,22.000000,0.000000,top
"J1","JST_SH_Conn_01x04_i2c-0my_intf","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",7.590000,-24.000000,180.000000,top
"R1","1k","C_0402_1005Metric",-9.000000,17.685000,90.000000,top
"R2","DNF","C_0402_1005Metric",-10.500000,17.685000,270.000000,top
"R3","27","C_0402_1005Metric",1.000000,6.485000,270.000000,top
"R4","27","C_0402_1005Metric",2.000000,6.485000,270.000000,top
"R5","1k","C_0402_1005Metric",-1.300000,-7.115000,270.000000,top
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",8.000000,17.150000,270.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",-6.950000,12.725000,0.000000,top
"U3","RP2040","RP2040-QFN-56",0.000000,0.000000,0.000000,top
"Y1","ABLS-12.000MHZ-B4-T","Crystal_SMD_HC49-US",-2.159000,-13.116000,0.000000,top
